query_id,protein_name,organism,e-value,score
NP_060422.4, pentatricopeptide repeat domain-containing protein 3,Homo sapiens,0.0,3728.0
XP_003816612.1, pentatricopeptide repeat domain-containing protein 3,Pan paniscus,0.0,3693.0
XP_004029610.1, pentatricopeptide repeat domain-containing protein 3,Gorilla gorilla gorilla,0.0,3689.0
NP_001267143.1, pentatricopeptide repeat domain-containing protein 3,Pan troglodytes,0.0,3688.0
NP_001126041.1, pentatricopeptide repeat domain-containing protein 3,Pongo abelii,0.0,3466.0
XP_030683402.1, pentatricopeptide repeat domain-containing protein 3,Nomascus leucogenys,0.0,3443.0
XP_023080685.1, pentatricopeptide repeat domain-containing protein 3,Piliocolobus tephrosceles,0.0,3254.0
XP_017711769.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Rhinopithecus bieti,0.0,3250.0
XP_010380302.2, pentatricopeptide repeat domain-containing protein 3,Rhinopithecus roxellana,0.0,3240.0
XP_033031243.1, pentatricopeptide repeat domain-containing protein 3,Trachypithecus francoisi,0.0,3231.0
XP_011819561.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Colobus angolensis palliatus,0.0,3222.0
XP_007968181.2, pentatricopeptide repeat domain-containing protein 3,Chlorocebus sabaeus,0.0,3220.0
XP_011919510.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Cercocebus atys,0.0,3216.0
XP_001091372.1, pentatricopeptide repeat domain-containing protein 3,Macaca mulatta,0.0,3207.0
XP_011712149.1, pentatricopeptide repeat domain-containing protein 3,Macaca nemestrina,0.0,3203.0
XP_005575445.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Macaca fascicularis,0.0,3201.0
XP_003908970.2, pentatricopeptide repeat domain-containing protein 3,Papio anubis,0.0,3192.0
XP_025210275.1, pentatricopeptide repeat domain-containing protein 3,Theropithecus gelada,0.0,3186.0
XP_011826513.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Mandrillus leucophaeus,0.0,3182.0
XP_012328355.1, pentatricopeptide repeat domain-containing protein 3,Aotus nancymaae,0.0,3133.0
XP_002757588.1, pentatricopeptide repeat domain-containing protein 3,Callithrix jacchus,0.0,3123.0
XP_039336171.1, pentatricopeptide repeat domain-containing protein 3,Saimiri boliviensis boliviensis,0.0,3107.0
XP_032099470.1, pentatricopeptide repeat domain-containing protein 3,Sapajus apella,0.0,3071.0
XP_021573045.1, pentatricopeptide repeat domain-containing protein 3,Carlito syrichta,0.0,3061.0
XP_017392120.1, pentatricopeptide repeat domain-containing protein 3,Cebus imitator,0.0,3042.0
XP_004437307.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Ceratotherium simum simum,0.0,3012.0
XP_019604768.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Rhinolophus sinicus,0.0,2992.0
XP_015992063.2, pentatricopeptide repeat domain-containing protein 3,Rousettus aegyptiacus,0.0,2980.0
XP_011368109.1, pentatricopeptide repeat domain-containing protein 3,Pteropus vampyrus,0.0,2979.0
XP_039708299.1, pentatricopeptide repeat domain-containing protein 3,Pteropus giganteus,0.0,2972.0
XP_015449352.1, pentatricopeptide repeat domain-containing protein 3,Pteropus alecto,0.0,2963.0
XP_012629763.1, pentatricopeptide repeat domain-containing protein 3,Microcebus murinus,0.0,2959.0
XP_012499696.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Propithecus coquereli,0.0,2957.0
XP_004415460.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Odobenus rosmarus divergens,0.0,2957.0
XP_023474547.1, pentatricopeptide repeat domain-containing protein 3,Equus caballus,0.0,2953.0
XP_025309625.1, pentatricopeptide repeat domain-containing protein 3,Canis lupus dingo,0.0,2950.0
XP_046517381.1, pentatricopeptide repeat domain-containing protein 3,Equus quagga,0.0,2950.0
XP_014708291.1, pentatricopeptide repeat domain-containing protein 3,Equus asinus,0.0,2950.0
XP_032980258.1, pentatricopeptide repeat domain-containing protein 3,Rhinolophus ferrumequinum,0.0,2938.0
XP_005662461.1, pentatricopeptide repeat domain-containing protein 3,Sus scrofa,0.0,2937.0
XP_005630532.1, pentatricopeptide repeat domain-containing protein 3,Canis lupus familiaris,0.0,2934.0
XP_045684429.1, pentatricopeptide repeat domain-containing protein 3,Phyllostomus hastatus,0.0,2933.0
XP_045302703.1, pentatricopeptide repeat domain-containing protein 3,Leopardus geoffroyi,0.0,2933.0
XP_047637561.1, pentatricopeptide repeat domain-containing protein 3,Phacochoerus africanus,0.0,2929.0
XP_025850189.1, pentatricopeptide repeat domain-containing protein 3,Vulpes vulpes,0.0,2927.0
XP_041611052.1, pentatricopeptide repeat domain-containing protein 3,Vulpes lagopus,0.0,2926.0
XP_044774675.1, pentatricopeptide repeat domain-containing protein 3,Neomonachus schauinslandi,0.0,2923.0
XP_039108558.1, pentatricopeptide repeat domain-containing protein 3,Hyaena hyaena,0.0,2921.0
XP_035932086.1, pentatricopeptide repeat domain-containing protein 3,Halichoerus grypus,0.0,2921.0
XP_029793596.1, pentatricopeptide repeat domain-containing protein 3,Suricata suricatta,0.0,2920.0
XP_037383659.1, pentatricopeptide repeat domain-containing protein 3,Talpa occidentalis,0.0,2919.0
XP_036728870.1, pentatricopeptide repeat domain-containing protein 3,Balaenoptera musculus,0.0,2918.0
XP_007466804.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Lipotes vexillifer,0.0,2915.0
XP_004691657.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Condylura cristata,0.0,2912.0
XP_025724044.1, pentatricopeptide repeat domain-containing protein 3,Callorhinus ursinus,0.0,2908.0
XP_007175393.1, pentatricopeptide repeat domain-containing protein 3,Balaenoptera acutorostrata scammoni,0.0,2908.0
XP_016057290.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Miniopterus natalensis,0.0,2908.0
XP_029087404.1, pentatricopeptide repeat domain-containing protein 3,Monodon monoceros,0.0,2906.0
XP_045405967.1, pentatricopeptide repeat domain-containing protein 3,Lemur catta,0.0,2904.0
XP_024599573.1, pentatricopeptide repeat domain-containing protein 3,Neophocaena asiaeorientalis asiaeorientalis,0.0,2904.0
XP_008527478.1, PREDICTED: pentatricopeptide repeat domain-containing protein 3,Equus przewalskii,0.0,2904.0
XP_020034611.1, pentatricopeptide repeat domain-containing protein 3,Castor canadensis,0.0,2904.0
XP_030693311.1, pentatricopeptide repeat domain-containing protein 3,Globicephala melas,0.0,2903.0
XP_002928680.1, pentatricopeptide repeat domain-containing protein 3,Ailuropoda melanoleuca,0.0,2903.0
XP_045664818.1, pentatricopeptide repeat domain-containing protein 3,Ursus americanus,0.0,2903.0
