query_id,protein_name,organism,e-value,score
NP_054737.1, 28S ribosomal protein S28,Homo sapiens,2.72611e-134,982.0
XP_003831329.1, 28S ribosomal protein S28,Pan paniscus,3.62859e-126,929.0
XP_030651265.1, 28S ribosomal protein S28,Nomascus leucogenys,6.01998e-125,921.0
XP_011792537.1, PREDICTED: 28S ribosomal protein S28,Colobus angolensis palliatus,2.40542e-122,904.0
XP_037856289.1, tumor protein D52 isoform X5 [Chlorocebus sabaeus],Chlorocebus sabaeus,3.60979e-122,902.0
NP_001248018.1, 28S ribosomal protein S28,Macaca mulatta,1.93403e-121,898.0
XP_011887271.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,2.06562e-121,897.0
XP_011844470.1, PREDICTED: 28S ribosomal protein S28,Mandrillus leucophaeus,1.08265e-120,893.0
XP_005563657.3, tumor protein D52 isoform X12 [Macaca fascicularis] >ref,Macaca fascicularis,1.9578e-120,891.0
XP_010376790.1, 28S ribosomal protein S28,Rhinopithecus roxellana,5.08473e-120,888.0
XP_011792538.1, PREDICTED: 28S ribosomal protein S28,Colobus angolensis palliatus,2.41325e-119,883.0
XP_003902949.1, 28S ribosomal protein S28,Papio anubis,2.49512e-119,884.0
XP_011887266.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,3.05711e-119,884.0
XP_023083519.1, 28S ribosomal protein S28,Piliocolobus tephrosceles,3.06632e-119,883.0
XP_037856290.1, tumor protein D52 isoform X7 [Chlorocebus sabaeus],Chlorocebus sabaeus,1.21055e-118,879.0
XP_015001003.1, 28S ribosomal protein S28,Macaca mulatta,4.71813e-118,875.0
XP_011887272.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,5.38198e-118,875.0
XP_010376791.1, 28S ribosomal protein S28,Rhinopithecus roxellana,2.14411e-117,871.0
XP_032615797.1, 28S ribosomal protein S28,Hylobates moloch,3.5519e-117,870.0
XP_011844471.1, PREDICTED: 28S ribosomal protein S28,Mandrillus leucophaeus,3.83488e-117,869.0
XP_011742722.1, 28S ribosomal protein S28,Macaca nemestrina,5.94731e-117,868.0
XP_023083520.1, 28S ribosomal protein S28,Piliocolobus tephrosceles,4.98447e-116,862.0
XP_009211510.1, 28S ribosomal protein S28,Papio anubis,7.66236e-116,860.0
XP_012351541.1, 28S ribosomal protein S28,Nomascus leucogenys,2.0138e-114,851.0
