query_id,protein_name,organism,e-value,score
NP_110438.1, 28S ribosomal protein S26,Homo sapiens,3.42069e-143,1044.0
XP_004061768.2, 28S ribosomal protein S26,Gorilla gorilla gorilla,5.206140000000001e-141,1030.0
XP_016792834.1, 28S ribosomal protein S26,Pan troglodytes,5.2093999999999996e-138,1012.0
XP_003277996.1, 28S ribosomal protein S26,Nomascus leucogenys,7.50857e-138,1009.0
XP_002830146.1, 28S ribosomal protein S26,Pongo abelii,9.98703e-138,1009.0
XP_031998535.1, 28S ribosomal protein S26,Hylobates moloch,7.03916e-137,1003.0
XP_010377284.1, 28S ribosomal protein S26,Rhinopithecus roxellana,8.197880000000001e-126,930.0
XP_017728070.1, PREDICTED: 28S ribosomal protein S26,Rhinopithecus bieti,7.269719999999998e-125,924.0
XP_011798718.1, PREDICTED: 28S ribosomal protein S26,Colobus angolensis palliatus,1.93134e-118,882.0
XP_008017398.2, 28S ribosomal protein S26,Chlorocebus sabaeus,7.43956e-118,878.0
XP_017360265.1, 28S ribosomal protein S26,Cebus imitator,1.74966e-117,876.0
XP_033041747.1, 28S ribosomal protein S26,Trachypithecus francoisi,2.13138e-117,875.0
NP_001181596.1, 28S ribosomal protein S26,Macaca mulatta,4.0233400000000003e-115,860.0
XP_005568554.1, 28S ribosomal protein S26,Macaca fascicularis,1.24445e-114,857.0
XP_011739616.1, 28S ribosomal protein S26,Macaca nemestrina,5.9675800000000006e-114,853.0
XP_050601659.1, 28S ribosomal protein S26,Macaca thibetana thibetana,1.12701e-113,851.0
XP_003905047.2, 28S ribosomal protein S26,Papio anubis,3.1582400000000003e-113,848.0
XP_023076039.1, 28S ribosomal protein S26,Piliocolobus tephrosceles,4.01959e-113,847.0
XP_025256453.1, 28S ribosomal protein S26,Theropithecus gelada,6.23176e-113,846.0
XP_011907667.1, PREDICTED: 28S ribosomal protein S26,Cercocebus atys,6.65119e-112,839.0
XP_032151476.1, 28S ribosomal protein S26,Sapajus apella,1.70593e-110,830.0
XP_039335493.1, 28S ribosomal protein S26,Saimiri boliviensis boliviensis,3.91642e-108,814.0
XP_011367852.1, 28S ribosomal protein S26,Pteropus vampyrus,5.10452e-108,814.0
XP_039719830.1, 28S ribosomal protein S26,Pteropus giganteus,2.7002000000000002e-107,809.0
XP_004433872.1, PREDICTED: 28S ribosomal protein S26,Ceratotherium simum simum,3.0564500000000004e-107,808.0
XP_026925498.1, 28S ribosomal protein S26,Acinonyx jubatus,4.270440000000001e-107,808.0
XP_039079785.1, 28S ribosomal protein S26,Hyaena hyaena,6.266890000000001e-107,807.0
XP_008993900.1, 28S ribosomal protein S26,Callithrix jacchus,8.608380000000001e-107,805.0
XP_030165796.1, 28S ribosomal protein S26,Lynx canadensis,1.6439e-106,804.0
XP_025788011.1, 28S ribosomal protein S26,Puma concolor,1.66201e-106,804.0
XP_006929977.1, 28S ribosomal protein S26,Felis catus,2.25888e-106,803.0
XP_021544862.1, 28S ribosomal protein S26,Neomonachus schauinslandi,3.78075e-106,801.0
XP_040303453.1, 28S ribosomal protein S26,Puma yagouaroundi,5.86064e-106,800.0
XP_026934554.1, 28S ribosomal protein S26,Lagenorhynchus obliquidens,7.79261e-106,799.0
XP_004398220.1, PREDICTED: 28S ribosomal protein S26,Odobenus rosmarus divergens,1.31862e-105,798.0
XP_043458689.1, 28S ribosomal protein S26,Prionailurus bengalensis,1.36269e-105,798.0
XP_002918819.2, 28S ribosomal protein S26,Ailuropoda melanoleuca,1.47133e-105,798.0
XP_034861884.1, 28S ribosomal protein S26,Mirounga leonina,1.81189e-105,797.0
XP_029773099.1, 28S ribosomal protein S26,Suricata suricatta,2.35695e-105,796.0
XP_006732337.1, 28S ribosomal protein S26,Leptonychotes weddellii,3.7756e-105,795.0
XP_032950195.1, 28S ribosomal protein S26,Rhinolophus ferrumequinum,7.86746e-105,793.0
XP_047710515.1, 28S ribosomal protein S26,Prionailurus viverrinus,2.15599e-104,790.0
XP_045301075.1, 28S ribosomal protein S26,Leopardus geoffroyi,3.23386e-104,789.0
XP_005604571.2, 28S ribosomal protein S26,Equus caballus,4.14441e-104,788.0
XP_019318253.1, PREDICTED: 28S ribosomal protein S26,Panthera pardus,5.90813e-104,787.0
XP_032275449.1, 28S ribosomal protein S26,Phoca vitulina,1.17827e-103,785.0
XP_019589267.1, PREDICTED: 28S ribosomal protein S26,Rhinolophus sinicus,2.6508e-103,783.0
XP_025732008.1, 28S ribosomal protein S26,Callorhinus ursinus,2.95775e-103,782.0
XP_014717374.1, 28S ribosomal protein S26,Equus asinus,4.92972e-103,781.0
XP_036178759.1, 28S ribosomal protein S26,Myotis myotis,1.88421e-102,777.0
XP_027811358.1, 28S ribosomal protein S26,Marmota flaviventris,1.92596e-102,777.0
XP_027478208.1, 28S ribosomal protein S26,Zalophus californianus,4.526770000000001e-102,775.0
XP_035949137.1, 28S ribosomal protein S26,Halichoerus grypus,1.0409e-101,772.0
XP_012521203.1, PREDICTED: 28S ribosomal protein S26,Propithecus coquereli,2.85008e-101,773.0
XP_036100965.1, 28S ribosomal protein S26,Molossus molossus,3.91856e-101,768.0
XP_003788105.1, 28S ribosomal protein S26,Otolemur garnettii,9.41363e-101,766.0
XP_008139491.1, 28S ribosomal protein S26,Eptesicus fuscus,1.6459e-100,764.0
XP_015999110.1, 28S ribosomal protein S26,Rousettus aegyptiacus,2.64048e-100,763.0
XP_012610369.1, 28S ribosomal protein S26,Microcebus murinus,1.66059e-99,758.0
XP_037667706.1, 28S ribosomal protein S26,Choloepus didactylus,2.00051e-99,757.0
XP_001924843.2, 28S ribosomal protein S26,Sus scrofa,3.2751e-99,756.0
XP_032714941.1, 28S ribosomal protein S26,Lontra canadensis,6.67502e-99,754.0
XP_004586043.1, 28S ribosomal protein S26,Ochotona princeps,9.5496e-99,753.0
XP_047627430.1, 28S ribosomal protein S26,Phacochoerus africanus,1.04593e-98,753.0
XP_007932874.1, 28S ribosomal protein S26,Orycteropus afer afer,1.39056e-98,752.0
XP_004383074.1, 28S ribosomal protein S26,Trichechus manatus latirostris,1.53463e-98,751.0
XP_036997087.1, 28S ribosomal protein S26,Artibeus jamaicensis,2.86525e-98,750.0
XP_047600370.1, 28S ribosomal protein S26,Lutra lutra,2.99358e-98,750.0
XP_045384913.1, 28S ribosomal protein S26,Lemur catta,3.03004e-98,752.0
XP_042835663.1, 28S ribosomal protein S26,Panthera tigris,5.00927e-98,748.0
XP_022349893.1, 28S ribosomal protein S26,Enhydra lutris kenyoni,5.9688e-98,748.0
XP_036900221.1, 28S ribosomal protein S26,Sturnira hondurensis,1.80443e-97,744.0
