query_id,protein_name,organism,e-value,score
NP_057154.2, 28S ribosomal protein S23,Homo sapiens,9.083769999999999e-138,1006.0
XP_511903.2, 28S ribosomal protein S23,Pan troglodytes,9.40648e-137,999.0
XP_003817446.2, 28S ribosomal protein S23,Pan paniscus,2.31331e-136,996.0
XP_018884114.1, 28S ribosomal protein S23,Gorilla gorilla gorilla,8.00943e-135,986.0
XP_003272343.1, 28S ribosomal protein S23,Nomascus leucogenys,1.1430699999999999e-133,979.0
XP_002827380.2, 28S ribosomal protein S23,Pongo abelii,7.5394e-132,967.0
XP_011809110.1, PREDICTED: 28S ribosomal protein S23,Colobus angolensis palliatus,2.47788e-128,944.0
XP_023060350.1, 28S ribosomal protein S23,Piliocolobus tephrosceles,2.82657e-128,943.0
XP_011834612.1, PREDICTED: 28S ribosomal protein S23,Mandrillus leucophaeus,3.7596799999999997e-128,943.0
XP_011731311.1, 28S ribosomal protein S23,Macaca nemestrina,8.02721e-127,934.0
XP_011910303.1, PREDICTED: 28S ribosomal protein S23,Cercocebus atys,8.76361e-127,934.0
XP_010371215.1, 28S ribosomal protein S23,Rhinopithecus roxellana,1.19151e-126,933.0
NP_001253417.1, 28S ribosomal protein S23,Macaca mulatta,1.21795e-126,933.0
XP_003912845.1, 28S ribosomal protein S23,Papio anubis,5.1829700000000004e-126,929.0
XP_033039505.1, 28S ribosomal protein S23,Trachypithecus francoisi,5.29796e-126,928.0
XP_005583865.1, PREDICTED: 28S ribosomal protein S23,Macaca fascicularis,1.40659e-125,926.0
XP_025218937.1, 28S ribosomal protein S23,Theropithecus gelada,2.32993e-125,924.0
XP_002748440.2, 28S ribosomal protein S23,Callithrix jacchus,3.81284e-124,916.0
XP_008009532.2, 28S ribosomal protein S23,Chlorocebus sabaeus,7.22187e-124,914.0
XP_017394333.1, 28S ribosomal protein S23,Cebus imitator,3.3506900000000003e-122,903.0
XP_032136015.1, 28S ribosomal protein S23,Sapajus apella,4.4566200000000004e-122,903.0
XP_012503910.1, PREDICTED: 28S ribosomal protein S23,Propithecus coquereli,6.7849600000000004e-121,895.0
XP_012315910.1, 28S ribosomal protein S23,Aotus nancymaae,3.31363e-120,890.0
XP_003931389.2, 28S ribosomal protein S23,Saimiri boliviensis boliviensis,9.4166e-120,887.0
XP_021568018.1, 28S ribosomal protein S23,Carlito syrichta,1.12492e-119,887.0
XP_045381643.1, 28S ribosomal protein S23,Lemur catta,5.000380000000004e-119,883.0
XP_003795612.1, 28S ribosomal protein S23,Otolemur garnettii,1.82442e-118,879.0
XP_012617336.1, 28S ribosomal protein S23,Microcebus murinus,4.86733e-117,869.0
XP_008587161.1, PREDICTED: 28S ribosomal protein S23,Galeopterus variegatus,7.68252e-117,868.0
