query_id,protein_name,organism,e-value,score
NP_055899.2, 28S ribosomal protein S27,Homo sapiens,0.0,2204.0
XP_003810534.2, 28S ribosomal protein S27,Pan paniscus,0.0,2196.0
NP_001127582.1, 28S ribosomal protein S27,Pongo abelii,0.0,2176.0
XP_004058726.2, 28S ribosomal protein S27,Gorilla gorilla gorilla,0.0,2174.0
XP_032001187.1, 28S ribosomal protein S27,Hylobates moloch,0.0,2151.0
XP_030653937.1, 28S ribosomal protein S27,Nomascus leucogenys,0.0,2149.0
XP_011814674.1, PREDICTED: 28S ribosomal protein S27,Colobus angolensis palliatus,0.0,2088.0
XP_023063717.1, 28S ribosomal protein S27,Piliocolobus tephrosceles,0.0,2083.0
XP_033035722.1, 28S ribosomal protein S27,Trachypithecus francoisi,0.0,2080.0
XP_025245228.1, 28S ribosomal protein S27,Theropithecus gelada,0.0,2072.0
XP_011728512.1, 28S ribosomal protein S27,Macaca nemestrina,0.0,2071.0
XP_050649530.1, 28S ribosomal protein S27,Macaca thibetana thibetana,0.0,2069.0
XP_010378566.1, 28S ribosomal protein S27,Rhinopithecus roxellana,0.0,2066.0
XP_001098829.2, 28S ribosomal protein S27,Macaca mulatta,0.0,2066.0
XP_011944746.1, PREDICTED: 28S ribosomal protein S27,Cercocebus atys,0.0,2063.0
XP_005557179.2, 28S ribosomal protein S27,Macaca fascicularis,0.0,2058.0
XP_011840610.1, PREDICTED: 28S ribosomal protein S27,Mandrillus leucophaeus,0.0,2057.0
XP_031522070.1, 28S ribosomal protein S27,Papio anubis,0.0,2057.0
XP_007973091.2, 28S ribosomal protein S27,Chlorocebus sabaeus,0.0,2051.0
XP_009447310.1, 28S ribosomal protein S27,Pan troglodytes,0.0,2015.0
XP_010334836.1, 28S ribosomal protein S27,Saimiri boliviensis boliviensis,0.0,2012.0
XP_002744923.2, 28S ribosomal protein S27,Callithrix jacchus,0.0,2009.0
XP_017383100.1, 28S ribosomal protein S27,Cebus imitator,0.0,2007.0
XP_032134693.1, 28S ribosomal protein S27,Sapajus apella,0.0,1994.0
XP_012520046.1, PREDICTED: 28S ribosomal protein S27,Propithecus coquereli,0.0,1912.0
XP_008052157.1, 28S ribosomal protein S27,Carlito syrichta,0.0,1908.0
XP_008568693.1, PREDICTED: 28S ribosomal protein S27,Galeopterus variegatus,0.0,1897.0
XP_037656899.1, 28S ribosomal protein S27,Choloepus didactylus,0.0,1884.0
XP_003786048.1, 28S ribosomal protein S27,Otolemur garnettii,0.0,1879.0
XP_004374564.1, 28S ribosomal protein S27,Trichechus manatus latirostris,0.0,1879.0
XP_046283287.1, 28S ribosomal protein S27,Marmota monax,0.0,1870.0
XP_049721340.1, 28S ribosomal protein S27,Elephas maximus indicus,0.0,1866.0
XP_026249014.1, 28S ribosomal protein S27,Urocitellus parryii,0.0,1865.0
XP_027783672.1, 28S ribosomal protein S27,Marmota flaviventris,0.0,1864.0
XP_015353299.1, 28S ribosomal protein S27,Marmota marmota marmota,0.0,1862.0
XP_010586508.1, 28S ribosomal protein S27,Loxodonta africana,0.0,1860.0
XP_012638720.1, 28S ribosomal protein S27,Microcebus murinus,0.0,1847.0
XP_005329021.2, 28S ribosomal protein S27,Ictidomys tridecemlineatus,0.0,1844.0
XP_045302633.1, 28S ribosomal protein S27,Leopardus geoffroyi,0.0,1842.0
XP_019318596.1, PREDICTED: 28S ribosomal protein S27,Panthera pardus,0.0,1839.0
XP_003981103.1, 28S ribosomal protein S27,Felis catus,0.0,1839.0
XP_045422063.1, 28S ribosomal protein S27,Lemur catta,0.0,1838.0
XP_030178559.1, 28S ribosomal protein S27,Lynx canadensis,0.0,1837.0
XP_040307045.1, 28S ribosomal protein S27,Puma yagouaroundi,0.0,1837.0
XP_047726203.1, 28S ribosomal protein S27,Prionailurus viverrinus,0.0,1835.0
XP_043444474.1, 28S ribosomal protein S27,Prionailurus bengalensis,0.0,1834.0
XP_014930072.1, 28S ribosomal protein S27,Acinonyx jubatus,0.0,1834.0
XP_025780215.1, 28S ribosomal protein S27,Puma concolor,0.0,1833.0
XP_007079921.1, 28S ribosomal protein S27,Panthera tigris,0.0,1833.0
XP_046943768.1, 28S ribosomal protein S27,Lynx rufus,0.0,1832.0
XP_012871387.1, PREDICTED: 28S ribosomal protein S27,Dipodomys ordii,0.0,1829.0
XP_019520627.1, PREDICTED: 28S ribosomal protein S27,Hipposideros armiger,0.0,1827.0
XP_026354601.3, 28S ribosomal protein S27,Ursus arctos,0.0,1823.0
XP_024611928.1, 28S ribosomal protein S27,Neophocaena asiaeorientalis asiaeorientalis,0.0,1822.0
XP_002921386.1, 28S ribosomal protein S27,Ailuropoda melanoleuca,0.0,1820.0
XP_029073321.1, 28S ribosomal protein S27,Monodon monoceros,0.0,1820.0
XP_022451226.1, 28S ribosomal protein S27,Delphinapterus leucas,0.0,1818.0
XP_040118626.1, 28S ribosomal protein S27,Oryx dammah,0.0,1818.0
XP_039098010.1, 28S ribosomal protein S27,Hyaena hyaena,0.0,1818.0
XP_047649298.1, 28S ribosomal protein S27,Phacochoerus africanus,0.0,1818.0
XP_008689535.1, 28S ribosomal protein S27,Ursus maritimus,0.0,1818.0
XP_037385316.1, 28S ribosomal protein S27,Talpa occidentalis,0.0,1817.0
XP_045665737.1, 28S ribosomal protein S27,Ursus americanus,0.0,1817.0
XP_015977605.1, 28S ribosomal protein S27,Rousettus aegyptiacus,0.0,1815.0
XP_007457122.1, PREDICTED: 28S ribosomal protein S27,Lipotes vexillifer,0.0,1814.0
XP_006913188.1, 28S ribosomal protein S27,Pteropus alecto,0.0,1813.0
