query_id,protein_name,organism,e-value,score
NP_057053.1, 28S ribosomal protein S17,Homo sapiens,7.276119999999994e-91,685.0
NP_001253125.1, 28S ribosomal protein S17,Macaca mulatta,2.65743e-90,681.0
NP_001238901.1, 28S ribosomal protein S17,Pan troglodytes,4.16798e-90,680.0
XP_003896006.1, 28S ribosomal protein S17,Papio anubis,6.75603e-90,679.0
XP_010378844.1, 28S ribosomal protein S17,Rhinopithecus roxellana,1.0253e-89,678.0
XP_011783908.1, PREDICTED: 28S ribosomal protein S17,Colobus angolensis palliatus,1.79468e-89,676.0
XP_007979453.1, 28S ribosomal protein S17,Chlorocebus sabaeus,1.50952e-88,670.0
XP_017722807.1, PREDICTED: 28S ribosomal protein S17,Rhinopithecus bieti,3.63033e-88,667.0
XP_039316282.1, 28S ribosomal protein S17,Saimiri boliviensis boliviensis,8.95781e-87,658.0
XP_017371863.1, 28S ribosomal protein S17,Cebus imitator,1.97435e-86,656.0
XP_032120633.1, 28S ribosomal protein S17,Sapajus apella,2.3277e-86,656.0
XP_008982395.1, 28S ribosomal protein S17,Callithrix jacchus,3.77287e-86,654.0
XP_004840011.1, 28S ribosomal protein S17,Heterocephalus glaber,4.82589e-84,640.0
XP_032016525.1, 28S ribosomal protein S17,Hylobates moloch,1.1286400000000001e-83,639.0
XP_034799559.1, 28S ribosomal protein S17,Pan paniscus,1.93234e-83,637.0
XP_020016080.1, 28S ribosomal protein S17,Castor canadensis,2.1696900000000002e-83,636.0
XP_004439535.1, PREDICTED: 28S ribosomal protein S17,Ceratotherium simum simum,2.1706800000000002e-83,636.0
XP_002712647.1, PREDICTED: 28S ribosomal protein S17,Oryctolagus cuniculus,2.39604e-83,636.0
XP_003794272.1, 28S ribosomal protein S17,Otolemur garnettii,3.0171100000000002e-83,635.0
XP_004405486.1, PREDICTED: 28S ribosomal protein S17,Odobenus rosmarus divergens,3.92632e-83,634.0
XP_012619571.1, 28S ribosomal protein S17,Microcebus murinus,4.6800400000000004e-83,634.0
XP_021556266.1, 28S ribosomal protein S17,Neomonachus schauinslandi,5.82879e-83,633.0
XP_008068391.1, 28S ribosomal protein S17,Carlito syrichta,7.585300000000001e-83,633.0
XP_005396752.1, PREDICTED: 28S ribosomal protein S17,Chinchilla lanigera,8.19102e-83,632.0
XP_006942159.1, 28S ribosomal protein S17,Felis catus,8.74855e-83,632.0
XP_003465843.2, 28S ribosomal protein S17,Cavia porcellus,1.08959e-82,632.0
XP_045315871.1, 28S ribosomal protein S17,Leopardus geoffroyi,1.54363e-82,633.0
XP_049494697.1, 28S ribosomal protein S17,Panthera uncia,1.7618e-82,632.0
XP_008579216.1, PREDICTED: 28S ribosomal protein S17,Galeopterus variegatus,1.87657e-82,639.0
XP_045399174.1, 28S ribosomal protein S17,Lemur catta,2.45457e-82,629.0
XP_014925348.2, 28S ribosomal protein S17,Acinonyx jubatus,2.55671e-82,632.0
XP_045848366.1, 28S ribosomal protein S17,Meles meles,2.65058e-82,629.0
XP_007079163.2, 28S ribosomal protein S17,Panthera tigris,2.7912e-82,632.0
XP_011942988.1, PREDICTED: 28S ribosomal protein S17,Cercocebus atys,4.13905e-82,632.0
XP_035971196.1, 28S ribosomal protein S17,Halichoerus grypus,4.34447e-82,632.0
XP_006148158.1, 28S ribosomal protein S17,Tupaia chinensis,5.38131e-82,628.0
XP_008696828.1, 28S ribosomal protein S17,Ursus maritimus,8.48338e-82,626.0
XP_024427297.1, 28S ribosomal protein S17,Desmodus rotundus,9.46741e-82,625.0
XP_047695507.1, 28S ribosomal protein S17,Prionailurus viverrinus,9.46741e-82,625.0
XP_032286607.1, 28S ribosomal protein S17,Phoca vitulina,1.14483e-81,635.0
XP_022356199.1, 28S ribosomal protein S17,Enhydra lutris kenyoni,1.33041e-81,624.0
XP_012495799.1, PREDICTED: 28S ribosomal protein S17,Propithecus coquereli,1.50111e-81,624.0
XP_039093984.1, 28S ribosomal protein S17,Hyaena hyaena,1.58579e-81,624.0
XP_037360392.1, 28S ribosomal protein S17,Talpa occidentalis,1.60329e-81,624.0
XP_036136390.1, 28S ribosomal protein S17,Molossus molossus,1.89018e-81,623.0
XP_011365305.1, 28S ribosomal protein S17,Pteropus vampyrus,2.06536e-81,623.0
XP_006918561.1, 28S ribosomal protein S17,Pteropus alecto,2.43291e-81,623.0
XP_004761793.1, 28S ribosomal protein S17,Mustela putorius furo,2.99698e-81,622.0
XP_036886567.1, 28S ribosomal protein S17,Sturnira hondurensis,3.23629e-81,622.0
XP_037009001.1, 28S ribosomal protein S17,Artibeus jamaicensis,4.30494e-81,621.0
XP_032728236.1, 28S ribosomal protein S17,Lontra canadensis,4.75185e-81,621.0
XP_034844660.1, 28S ribosomal protein S17,Mirounga leonina,5.4609e-81,634.0
XP_044089301.1, 28S ribosomal protein S17,Neogale vison,8.6896e-81,619.0
XP_025873297.1, 28S ribosomal protein S17,Vulpes vulpes,8.98045e-81,619.0
XP_028369804.1, 28S ribosomal protein S17,Phyllostomus discolor,1.47154e-80,618.0
XP_007115211.1, 28S ribosomal protein S17,Physeter catodon,1.77335e-80,617.0
XP_007530109.1, PREDICTED: 28S ribosomal protein S17,Erinaceus europaeus,1.8127e-80,617.0
XP_003354569.1, 28S ribosomal protein S17,Sus scrofa,2.09067e-80,617.0
XP_042544014.1, 28S ribosomal protein S17,Dipodomys spectabilis,2.13706e-80,617.0
XP_008837387.1, 28S ribosomal protein S17,Nannospalax galili,2.28252e-80,616.0
XP_019574652.1, PREDICTED: 28S ribosomal protein S17,Rhinolophus sinicus,2.3077e-80,616.0
XP_026371681.1, 28S ribosomal protein S17,Ursus arctos,2.57537e-80,616.0
XP_015994050.2, 28S ribosomal protein S17,Rousettus aegyptiacus,2.75066e-80,616.0
XP_003434785.1, 28S ribosomal protein S17,Canis lupus familiaris,2.84272e-80,616.0
