query_id,protein_name,organism,e-value,score
NP_071383.1, 28S ribosomal protein S14,Homo sapiens,7.84332e-89,671.0
XP_001104412.1, 28S ribosomal protein S14,Macaca mulatta,7.86439e-88,665.0
XP_030679804.1, 28S ribosomal protein S14,Nomascus leucogenys,1.62297e-87,663.0
XP_011941365.1, PREDICTED: 28S ribosomal protein S14,Cercocebus atys,2.11217e-87,662.0
XP_005540110.1, PREDICTED: 28S ribosomal protein S14,Macaca fascicularis,3.00111e-87,661.0
XP_011836815.1, PREDICTED: 28S ribosomal protein S14,Mandrillus leucophaeus,7.50157e-87,659.0
XP_023062980.1, 28S ribosomal protein S14,Piliocolobus tephrosceles,1.19663e-86,657.0
XP_010365687.1, 28S ribosomal protein S14,Rhinopithecus roxellana,2.04906e-86,655.0
XP_011817749.1, PREDICTED: 28S ribosomal protein S14,Colobus angolensis palliatus,7.11726e-86,653.0
XP_002809822.1, 28S ribosomal protein S14,Pongo abelii,1.94455e-85,649.0
XP_033054581.1, 28S ribosomal protein S14,Trachypithecus francoisi,2.79339e-85,648.0
XP_002760443.1, 28S ribosomal protein S14,Callithrix jacchus,1.24886e-82,631.0
XP_035145057.1, 28S ribosomal protein S14,Callithrix jacchus,5.08915e-82,627.0
XP_012513214.1, PREDICTED: 28S ribosomal protein S14,Propithecus coquereli,6.84452e-82,626.0
XP_003925393.1, 28S ribosomal protein S14,Saimiri boliviensis boliviensis,7.23062e-82,626.0
XP_032147226.1, 28S ribosomal protein S14,Sapajus apella,9.20534e-82,625.0
XP_045403268.1, 28S ribosomal protein S14,Lemur catta,1.14649e-81,624.0
XP_006187340.1, 28S ribosomal protein S14,Camelus ferus,1.44367e-81,624.0
XP_006199671.1, 28S ribosomal protein S14,Vicugna pacos,4.98978e-81,620.0
XP_012620519.1, 28S ribosomal protein S14,Microcebus murinus,6.35247e-81,619.0
XP_012299818.1, 28S ribosomal protein S14,Aotus nancymaae,1.26831e-80,618.0
XP_006153390.1, 28S ribosomal protein S14,Tupaia chinensis,1.96735e-80,616.0
XP_028386867.1, 28S ribosomal protein S14,Phyllostomus discolor,4.28835e-80,614.0
XP_004688561.1, PREDICTED: 28S ribosomal protein S14,Condylura cristata,6.15995e-80,613.0
XP_006887770.1, PREDICTED: 28S ribosomal protein S14,Elephantulus edwardii,8.84839e-80,612.0
XP_005867750.1, PREDICTED: 28S ribosomal protein S14,Myotis brandtii,1.20315e-79,611.0
XP_008824324.1, 28S ribosomal protein S14,Nannospalax galili,1.41844e-79,611.0
XP_043341832.1, 28S ribosomal protein S14,Cervus canadensis,1.4821e-79,611.0
XP_008144101.1, 28S ribosomal protein S14,Eptesicus fuscus,2.89477e-79,609.0
XP_004425071.1, PREDICTED: 28S ribosomal protein S14,Ceratotherium simum simum,2.92672e-79,609.0
XP_016009880.1, 28S ribosomal protein S14,Rousettus aegyptiacus,3.2662e-79,608.0
XP_047609455.1, 28S ribosomal protein S14,Phacochoerus africanus,4.2973e-79,607.0
XP_020757952.1, 28S ribosomal protein S14,Odocoileus virginianus texanus,4.34472e-79,607.0
XP_013845079.2, 28S ribosomal protein S14,Sus scrofa,4.39266e-79,607.0
XP_045694814.1, 28S ribosomal protein S14,Phyllostomus hastatus,4.90218e-79,607.0
XP_037001467.1, 28S ribosomal protein S14,Artibeus jamaicensis,5.53117e-79,607.0
XP_004269833.1, 28S ribosomal protein S14,Orcinus orca,5.90763e-79,607.0
XP_025857038.1, 28S ribosomal protein S14,Vulpes vulpes,6.73917e-79,606.0
XP_007945281.1, 28S ribosomal protein S14,Orycteropus afer afer,6.96474e-79,606.0
XP_004013867.1, 28S ribosomal protein S14,Ovis aries,7.19786e-79,606.0
XP_036891020.1, 28S ribosomal protein S14,Sturnira hondurensis,7.35759e-79,606.0
XP_001497831.2, 28S ribosomal protein S14,Equus caballus,9.80534e-79,606.0
XP_017511195.1, 28S ribosomal protein S14,Manis javanica,1.25972e-78,604.0
XP_036298210.1, 28S ribosomal protein S14,Pipistrellus kuhlii,1.28767e-78,604.0
XP_020021582.1, 28S ribosomal protein S14,Castor canadensis,1.50152e-78,604.0
XP_007165422.1, 28S ribosomal protein S14,Balaenoptera acutorostrata scammoni,1.51809e-78,604.0
XP_032694667.1, 28S ribosomal protein S14,Lontra canadensis,1.6393e-78,604.0
XP_008694833.1, 28S ribosomal protein S14,Ursus maritimus,1.6393e-78,604.0
XP_002928088.1, 28S ribosomal protein S14,Ailuropoda melanoleuca,2.1568e-78,603.0
XP_003999265.1, 28S ribosomal protein S14,Felis catus,2.1568e-78,603.0
XP_003785737.1, 28S ribosomal protein S14,Otolemur garnettii,2.22899e-78,603.0
XP_029086560.1, 28S ribosomal protein S14,Monodon monoceros,2.25358e-78,603.0
XP_023989477.1, 28S ribosomal protein S14,Physeter catodon,2.30359e-78,603.0
XP_004450353.1, 28S ribosomal protein S14,Dasypus novemcinctus,2.83765e-78,602.0
NP_001003902.1, 28S ribosomal protein S14,Bos taurus,2.99771e-78,602.0
XP_025286025.1, 28S ribosomal protein S14,Canis lupus dingo,3.16679e-78,602.0
XP_045308811.1, 28S ribosomal protein S14,Leopardus geoffroyi,3.65239e-78,601.0
XP_005374953.1, PREDICTED: 28S ribosomal protein S14,Chinchilla lanigera,3.77464e-78,601.0
XP_024408982.1, 28S ribosomal protein S14,Desmodus rotundus,4.03154e-78,601.0
XP_004626840.1, 28S ribosomal protein S14,Octodon degus,5.021e-78,600.0
XP_007451429.1, PREDICTED: 28S ribosomal protein S14,Lipotes vexillifer,5.66521e-78,600.0
XP_003410931.1, 28S ribosomal protein S14,Loxodonta africana,5.98474e-78,600.0
XP_012423620.1, PREDICTED: 28S ribosomal protein S14,Odobenus rosmarus divergens,6.7526e-78,600.0
XP_019503965.1, PREDICTED: 28S ribosomal protein S14,Hipposideros armiger,6.82711e-78,600.0
XP_036773996.1, 28S ribosomal protein S14,Manis pentadactyla,8.0487e-78,599.0
XP_041518787.1, 28S ribosomal protein S14,Microtus oregoni,8.0487e-78,599.0
XP_019582417.1, PREDICTED: 28S ribosomal protein S14,Rhinolophus sinicus,1.05895e-77,598.0
XP_035579667.1, 28S ribosomal protein S14,Zalophus californianus,1.2348e-77,598.0
XP_032173327.1, 28S ribosomal protein S14,Mustela erminea,1.2622e-77,598.0
XP_008068780.1, 28S ribosomal protein S14,Carlito syrichta,1.3481e-77,598.0
XP_006907852.1, 28S ribosomal protein S14,Pteropus alecto,1.95777e-77,597.0
XP_037362327.1, 28S ribosomal protein S14,Talpa occidentalis,2.0233e-77,597.0
XP_039098315.1, 28S ribosomal protein S14,Hyaena hyaena,2.0682e-77,596.0
XP_004372897.1, 28S ribosomal protein S14,Trichechus manatus latirostris,2.20896e-77,596.0
XP_006733122.1, 28S ribosomal protein S14,Leptonychotes weddellii,2.81213e-77,596.0
XP_016077059.1, PREDICTED: 28S ribosomal protein S14,Miniopterus natalensis,2.97074e-77,595.0
XP_005363994.1, 28S ribosomal protein S14,Microtus ochrogaster,4.03931e-77,595.0
XP_045838062.1, 28S ribosomal protein S14,Meles meles,4.08388e-77,595.0
XP_045018069.1, 28S ribosomal protein S14,Bubalus bubalis,5.08615e-77,594.0
XP_037681221.1, 28S ribosomal protein S14,Choloepus didactylus,5.38076e-77,594.0
XP_015347276.1, 28S ribosomal protein S14,Marmota marmota marmota,6.33439e-77,593.0
XP_047560217.1, 28S ribosomal protein S14,Lutra lutra,6.33439e-77,593.0
XP_022364172.1, 28S ribosomal protein S14,Enhydra lutris kenyoni,6.54639e-77,593.0
XP_008976591.1, 28S ribosomal protein S14,Pan paniscus,6.84317e-77,592.0
XP_004853456.1, 28S ribosomal protein S14,Heterocephalus glaber,8.3339e-77,592.0
XP_032949990.1, 28S ribosomal protein S14,Rhinolophus ferrumequinum,1.09646e-76,592.0
XP_004762015.1, 28S ribosomal protein S14,Mustela putorius furo,1.12121e-76,592.0
XP_039737371.1, 28S ribosomal protein S14,Pteropus giganteus,1.26458e-76,591.0
XP_036128674.1, 28S ribosomal protein S14,Molossus molossus,1.32132e-76,591.0
XP_043424438.1, 28S ribosomal protein S14,Prionailurus bengalensis,1.41125e-76,591.0
XP_012871242.1, PREDICTED: 28S ribosomal protein S14,Dipodomys ordii,1.60987e-76,591.0
XP_006867129.1, PREDICTED: 28S ribosomal protein S14,Chrysochloris asiatica,1.8772e-76,590.0
XP_035973310.1, 28S ribosomal protein S14,Halichoerus grypus,2.02708e-76,590.0
XP_004706772.1, 28S ribosomal protein S14,Echinops telfairi,2.36369e-76,590.0
XP_042530301.1, 28S ribosomal protein S14,Dipodomys spectabilis,2.41614e-76,589.0
XP_003474714.1, 28S ribosomal protein S14,Cavia porcellus,2.97625e-76,589.0
XP_046286214.1, 28S ribosomal protein S14,Marmota monax,4.71873e-76,588.0
XP_048276992.1, 28S ribosomal protein S14,Myodes glareolus,5.09548e-76,587.0
XP_011817750.1, PREDICTED: 28S ribosomal protein S14,Colobus angolensis palliatus,5.56831e-76,586.0
XP_017813317.1, 28S ribosomal protein S14,Papio anubis,5.69189e-76,586.0
XP_047376716.1, 28S ribosomal protein S14,Neosciurus carolinensis,5.81262e-76,587.0
XP_032249353.1, 28S ribosomal protein S14,Phoca vitulina,1.00612e-75,585.0
XP_027724109.1, 28S ribosomal protein S14,Vombatus ursinus,1.28083e-75,585.0
XP_034369322.1, 28S ribosomal protein S14,Arvicanthis niloticus,1.39835e-75,584.0
XP_001365530.1, PREDICTED: 28S ribosomal protein S14,Monodelphis domestica,1.9013e-75,584.0
