query_id,protein_name,organism,e-value,score
NP_054737.1, 28S ribosomal protein S28,Homo sapiens,2.78258e-134,982.0
XP_003831329.1, 28S ribosomal protein S28,Pan paniscus,3.70375e-126,929.0
XP_030651265.1, 28S ribosomal protein S28,Nomascus leucogenys,6.14467e-125,921.0
XP_011792537.1, PREDICTED: 28S ribosomal protein S28,Colobus angolensis palliatus,2.4552400000000003e-122,904.0
NP_001248018.1, 28S ribosomal protein S28,Macaca mulatta,1.97409e-121,898.0
XP_011887271.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,2.10841e-121,897.0
XP_011844470.1, PREDICTED: 28S ribosomal protein S28,Mandrillus leucophaeus,1.1050800000000002e-120,893.0
XP_010376790.1, 28S ribosomal protein S28,Rhinopithecus roxellana,5.1900500000000006e-120,888.0
XP_011792538.1, PREDICTED: 28S ribosomal protein S28,Colobus angolensis palliatus,2.46324e-119,883.0
XP_003902949.1, 28S ribosomal protein S28,Papio anubis,2.5468e-119,884.0
XP_011887266.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,3.12043e-119,884.0
XP_023083519.1, 28S ribosomal protein S28,Piliocolobus tephrosceles,3.1298300000000004e-119,883.0
XP_015001003.1, 28S ribosomal protein S28,Macaca mulatta,4.81586e-118,875.0
XP_011887272.1, PREDICTED: 28S ribosomal protein S28,Cercocebus atys,5.49346e-118,875.0
XP_010376791.1, 28S ribosomal protein S28,Rhinopithecus roxellana,2.18852e-117,871.0
XP_032615797.1, 28S ribosomal protein S28,Hylobates moloch,3.62547e-117,870.0
XP_011844471.1, PREDICTED: 28S ribosomal protein S28,Mandrillus leucophaeus,3.91431e-117,869.0
XP_011742722.1, 28S ribosomal protein S28,Macaca nemestrina,6.0705e-117,868.0
XP_023083520.1, 28S ribosomal protein S28,Piliocolobus tephrosceles,5.087709999999999e-116,862.0
XP_009211510.1, 28S ribosomal protein S28,Papio anubis,7.82107e-116,860.0
XP_012351541.1, 28S ribosomal protein S28,Nomascus leucogenys,2.0555200000000002e-114,851.0
XP_002819251.3, 28S ribosomal protein S28,Pongo abelii,2.55975e-114,850.0
XP_032615798.1, 28S ribosomal protein S28,Hylobates moloch,3.51842e-114,850.0
XP_045417509.1, 28S ribosomal protein S28,Lemur catta,8.60941e-111,828.0
XP_032106521.1, 28S ribosomal protein S28,Sapajus apella,4.84929e-108,810.0
XP_047404129.1, 28S ribosomal protein S28,Neosciurus carolinensis,6.2044e-108,809.0
XP_003940236.1, 28S ribosomal protein S28,Saimiri boliviensis boliviensis,1.7686400000000002e-107,806.0
XP_025778646.1, 28S ribosomal protein S28,Puma concolor,3.2035500000000005e-107,805.0
XP_008981069.2, 28S ribosomal protein S28,Callithrix jacchus,3.2327e-107,804.0
XP_043457191.1, 28S ribosomal protein S28,Prionailurus bengalensis,8.689370000000001e-107,802.0
XP_019308885.1, PREDICTED: 28S ribosomal protein S28,Panthera pardus,1.83152e-106,800.0
XP_003999982.1, 28S ribosomal protein S28,Felis catus,4.35523e-106,797.0
XP_040343466.1, 28S ribosomal protein S28,Puma yagouaroundi,5.07784e-106,797.0
XP_007073859.1, 28S ribosomal protein S28,Panthera tigris,7.78745e-106,795.0
XP_014717328.1, 28S ribosomal protein S28,Equus asinus,1.01505e-105,795.0
XP_008518144.1, PREDICTED: 28S ribosomal protein S28,Equus przewalskii,1.14516e-105,794.0
XP_037593358.1, 28S ribosomal protein S28,Cebus imitator,1.9312199999999998e-105,793.0
XP_012595449.1, 28S ribosomal protein S28,Microcebus murinus,2.09667e-105,792.0
XP_014923042.2, 28S ribosomal protein S28,Acinonyx jubatus,2.4357499999999998e-105,792.0
XP_012518618.1, PREDICTED: 28S ribosomal protein S28,Propithecus coquereli,2.72786e-105,791.0
XP_032106525.1, 28S ribosomal protein S28,Sapajus apella,4.12281e-105,790.0
XP_034867306.1, 28S ribosomal protein S28,Mirounga leonina,4.45176e-105,790.0
XP_002759070.2, 28S ribosomal protein S28,Callithrix jacchus,5.30605e-104,783.0
XP_010977701.1, 28S ribosomal protein S28,Camelus dromedarius,1.62599e-103,780.0
XP_012306361.1, 28S ribosomal protein S28,Aotus nancymaae,3.4980499999999997e-103,777.0
XP_019308884.1, PREDICTED: 28S ribosomal protein S28,Panthera pardus,2.58295e-102,774.0
XP_036119660.1, 28S ribosomal protein S28,Molossus molossus,3.13804e-102,772.0
XP_032277813.1, 28S ribosomal protein S28,Phoca vitulina,3.65231e-102,771.0
XP_020031852.1, 28S ribosomal protein S28,Castor canadensis,5.90629e-102,770.0
XP_006202445.1, 28S ribosomal protein S28,Vicugna pacos,1.05959e-101,768.0
XP_024434110.1, 28S ribosomal protein S28,Desmodus rotundus,2.38479e-101,766.0
XP_008253912.2, PREDICTED: 28S ribosomal protein S28,Oryctolagus cuniculus,4.29616e-101,764.0
XP_005898636.1, PREDICTED: 28S ribosomal protein S28,Bos mutus,4.81808e-101,764.0
XP_044770854.1, 28S ribosomal protein S28,Neomonachus schauinslandi,6.111669999999999e-101,763.0
XP_021544328.1, 28S ribosomal protein S28,Neomonachus schauinslandi,6.24714e-101,763.0
XP_045705369.1, 28S ribosomal protein S28,Phyllostomus hastatus,8.23054e-101,763.0
XP_032725030.1, 28S ribosomal protein S28,Lontra canadensis,9.579809999999999e-101,762.0
XP_004386067.1, 28S ribosomal protein S28,Trichechus manatus latirostris,1.0573200000000001e-100,762.0
XP_028373900.1, 28S ribosomal protein S28,Phyllostomus discolor,1.36278e-100,761.0
XP_004774290.1, 28S ribosomal protein S28,Mustela putorius furo,2.2775200000000001e-100,760.0
XP_047580399.1, 28S ribosomal protein S28,Lutra lutra,2.62635e-100,759.0
NP_001172097.1, 28S ribosomal protein S28,Sus scrofa,3.0005200000000004e-100,759.0
XP_037659512.1, 28S ribosomal protein S28,Choloepus didactylus,3.97694e-100,758.0
XP_023555371.1, 28S ribosomal protein S28,Octodon degus,4.20101e-100,758.0
XP_016042362.1, PREDICTED: 28S ribosomal protein S28,Erinaceus europaeus,4.879290000000001e-100,756.0
XP_032172795.1, 28S ribosomal protein S28,Mustela erminea,5.782650000000001e-100,757.0
XP_022373619.1, 28S ribosomal protein S28,Enhydra lutris kenyoni,7.20014e-100,756.0
NP_001039866.1, 28S ribosomal protein S28,Bos taurus,7.88569e-100,756.0
XP_026238527.1, 28S ribosomal protein S28,Urocitellus parryii,7.90792e-100,756.0
XP_008687304.1, 28S ribosomal protein S28,Ursus maritimus,9.26481e-100,756.0
XP_019829564.1, PREDICTED: 28S ribosomal protein S28,Bos indicus,9.3974e-100,756.0
XP_008583696.1, PREDICTED: 28S ribosomal protein S28,Galeopterus variegatus,1.05502e-99,755.0
XP_007451794.1, PREDICTED: 28S ribosomal protein S28,Lipotes vexillifer,1.1304e-99,755.0
XP_047639650.1, 28S ribosomal protein S28,Phacochoerus africanus,1.65902e-99,754.0
XP_004393782.1, PREDICTED: 28S ribosomal protein S28,Odobenus rosmarus divergens,1.80815e-99,754.0
XP_045862046.1, 28S ribosomal protein S28,Meles meles,2.06235e-99,753.0
XP_040117932.1, 28S ribosomal protein S28,Oryx dammah,2.08844e-99,753.0
XP_010586669.1, 28S ribosomal protein S28,Loxodonta africana,2.14784e-99,753.0
XP_037360840.1, 28S ribosomal protein S28,Talpa occidentalis,3.13299e-99,752.0
XP_025726544.1, 28S ribosomal protein S28,Callorhinus ursinus,6.44846e-99,750.0
XP_019581130.1, PREDICTED: 28S ribosomal protein S28,Rhinolophus sinicus,6.60189e-99,750.0
XP_005689178.1, PREDICTED: 28S ribosomal protein S28,Capra hircus,1.16736e-98,748.0
XP_029779780.1, 28S ribosomal protein S28,Suricata suricatta,1.18955e-98,749.0
XP_003782624.1, 28S ribosomal protein S28,Otolemur garnettii,1.20258e-98,748.0
XP_044101341.1, 28S ribosomal protein S28,Neogale vison,1.27234e-98,748.0
XP_043339108.1, 28S ribosomal protein S28,Cervus canadensis,1.82969e-98,747.0
XP_004276231.1, 28S ribosomal protein S28,Orcinus orca,3.16513e-98,746.0
XP_022410759.1, 28S ribosomal protein S28,Delphinapterus leucas,3.16513e-98,746.0
XP_027431826.1, 28S ribosomal protein S28,Zalophus californianus,4.58735e-98,744.0
XP_030695026.1, 28S ribosomal protein S28,Globicephala melas,5.01556e-98,744.0
XP_010861697.1, PREDICTED: 28S ribosomal protein S28,Bison bison bison,5.13468e-98,744.0
XP_034524121.1, 28S ribosomal protein S28,Ailuropoda melanoleuca,5.39871e-98,744.0
XP_004427195.1, PREDICTED: 28S ribosomal protein S28,Ceratotherium simum simum,7.20119e-98,743.0
