query_id,protein_name,organism,e-value,score
NP_002940.2, 39S ribosomal protein L12,Homo sapiens,4.3761599999999996e-139,1016.0
XP_008954748.1, 39S ribosomal protein L12,Pan paniscus,6.159519999999999e-138,1009.0
XP_004040863.1, 39S ribosomal protein L12,Gorilla gorilla gorilla,2.53669e-137,1005.0
XP_003274878.1, 39S ribosomal protein L12,Nomascus leucogenys,7.4346e-137,1001.0
XP_009250418.1, 39S ribosomal protein L12,Pongo abelii,2.1822699999999998e-135,992.0
XP_011816300.1, PREDICTED: 39S ribosomal protein L12,Colobus angolensis palliatus,3.2392899999999996e-135,991.0
XP_008011450.1, 39S ribosomal protein L12,Chlorocebus sabaeus,6.84065e-134,982.0
XP_023057040.1, 39S ribosomal protein L12,Piliocolobus tephrosceles,1.41116e-133,980.0
XP_017380345.1, 39S ribosomal protein L12,Cebus imitator,4.75119e-127,937.0
XP_008996151.1, 39S ribosomal protein L12,Callithrix jacchus,9.58727e-127,935.0
XP_039332309.1, 39S ribosomal protein L12,Saimiri boliviensis boliviensis,3.3848800000000005e-126,932.0
NP_001253260.1, 39S ribosomal protein L12,Macaca mulatta,2.5795899999999997e-123,913.0
XP_009189730.1, 39S ribosomal protein L12,Papio anubis,4.1340699999999996e-123,911.0
XP_011921531.1, PREDICTED: 39S ribosomal protein L12,Cercocebus atys,4.927119999999999e-123,911.0
XP_010352599.1, 39S ribosomal protein L12,Rhinopithecus roxellana,5.620219999999999e-123,910.0
XP_011849492.1, PREDICTED: 39S ribosomal protein L12,Mandrillus leucophaeus,3.7072000000000005e-122,905.0
XP_006912221.2, 39S ribosomal protein L12,Pteropus alecto,6.36083e-116,864.0
XP_012308153.1, 39S ribosomal protein L12,Aotus nancymaae,6.44459e-116,864.0
XP_012658557.1, 39S ribosomal protein L12,Otolemur garnettii,3.25897e-115,859.0
XP_016019355.1, 39S ribosomal protein L12,Rousettus aegyptiacus,4.33406e-115,859.0
XP_006145708.1, 39S ribosomal protein L12,Tupaia chinensis,1.042e-113,850.0
XP_036766517.1, 39S ribosomal protein L12,Manis pentadactyla,1.70543e-113,849.0
XP_045425663.1, 39S ribosomal protein L12,Lemur catta,4.05819e-113,846.0
XP_019591247.1, PREDICTED: 39S ribosomal protein L12,Rhinolophus sinicus,4.67989e-113,845.0
XP_004404546.1, PREDICTED: 39S ribosomal protein L12,Odobenus rosmarus divergens,5.33797e-113,845.0
XP_044777581.1, 39S ribosomal protein L12,Neomonachus schauinslandi,1.43195e-112,842.0
XP_007538304.2, PREDICTED: 39S ribosomal protein L12,Erinaceus europaeus,1.8053299999999998e-112,844.0
XP_022379043.1, 39S ribosomal protein L12,Enhydra lutris kenyoni,2.22485e-112,841.0
XP_032944932.1, 39S ribosomal protein L12,Rhinolophus ferrumequinum,3.0849e-112,840.0
XP_012511892.1, PREDICTED: 39S ribosomal protein L12,Propithecus coquereli,6.4307899999999995e-112,838.0
XP_006869566.1, PREDICTED: 39S ribosomal protein L12,Chrysochloris asiatica,2.07418e-111,834.0
XP_028709485.1, 39S ribosomal protein L12,Peromyscus leucopus,6.99197e-111,841.0
XP_036124947.1, 39S ribosomal protein L12,Molossus molossus,2.17102e-110,828.0
XP_005694120.1, PREDICTED: 39S ribosomal protein L12,Capra hircus,3.22157e-110,827.0
XP_025715778.1, 39S ribosomal protein L12,Callorhinus ursinus,8.01884e-110,824.0
XP_006886209.1, PREDICTED: 39S ribosomal protein L12,Elephantulus edwardii,8.39505e-110,824.0
XP_039082123.1, 39S ribosomal protein L12,Hyaena hyaena,9.433199999999999e-110,824.0
XP_036268269.1, 39S ribosomal protein L12,Pipistrellus kuhlii,9.856059999999999e-110,824.0
XP_040100802.1, 39S ribosomal protein L12,Oryx dammah,1.11192e-109,823.0
XP_029784941.1, 39S ribosomal protein L12,Suricata suricatta,2.50261e-109,821.0
XP_005332716.1, 39S ribosomal protein L12,Ictidomys tridecemlineatus,4.2908e-109,819.0
XP_034881678.1, 39S ribosomal protein L12,Mirounga leonina,5.28439e-109,819.0
XP_036924913.1, 39S ribosomal protein L12,Sturnira hondurensis,8.3579e-109,817.0
XP_020043695.1, 39S ribosomal protein L12,Castor canadensis,8.466639999999999e-109,817.0
XP_016070928.1, PREDICTED: 39S ribosomal protein L12,Miniopterus natalensis,1.07547e-108,817.0
XP_017536120.1, 39S ribosomal protein L12,Manis javanica,1.4110000000000002e-108,817.0
XP_035950081.1, 39S ribosomal protein L12,Halichoerus grypus,1.59896e-108,816.0
XP_005905447.1, PREDICTED: 39S ribosomal protein L12,Bos mutus,2.42047e-108,814.0
XP_006743141.1, 39S ribosomal protein L12,Leptonychotes weddellii,3.52054e-108,813.0
XP_011371997.1, 39S ribosomal protein L12,Pteropus vampyrus,6.85759e-108,811.0
XP_045744230.1, 39S ribosomal protein L12,Mirounga angustirostris,1.11295e-107,810.0
XP_008826719.1, 39S ribosomal protein L12,Nannospalax galili,1.1215100000000001e-107,811.0
NP_963900.1, 39S ribosomal protein L12,Bos taurus,1.2395100000000001e-107,810.0
XP_032285570.1, 39S ribosomal protein L12,Phoca vitulina,1.29755e-107,810.0
XP_045013858.1, 39S ribosomal protein L12,Jaculus jaculus,1.84273e-107,809.0
XP_045692109.1, 39S ribosomal protein L12,Phyllostomus hastatus,2.12089e-107,808.0
XP_026266591.1, 39S ribosomal protein L12,Urocitellus parryii,3.2229100000000004e-107,807.0
NP_081480.2, 39S ribosomal protein L12,Mus musculus,4.44578e-107,806.0
XP_049632882.1, 39S ribosomal protein L12,Suncus etruscus,8.99681e-107,804.0
XP_012888563.1, PREDICTED: 39S ribosomal protein L12,Dipodomys ordii,9.332780000000001e-107,804.0
XP_003997319.1, 39S ribosomal protein L12,Felis catus,1.0394300000000001e-106,804.0
XP_006064270.1, 39S ribosomal protein L12,Bubalus bubalis,1.19862e-106,803.0
XP_004639541.2, 39S ribosomal protein L12,Octodon degus,2.06983e-106,805.0
XP_037666671.1, 39S ribosomal protein L12,Choloepus didactylus,2.21029e-106,801.0
XP_003464948.2, 39S ribosomal protein L12,Cavia porcellus,2.34358e-106,801.0
XP_007125698.1, 39S ribosomal protein L12,Physeter catodon,3.11054e-106,801.0
XP_050620026.1, 39S ribosomal protein L12,Macaca thibetana thibetana,3.8053700000000003e-106,797.0
XP_036051793.1, LOW QUALITY PROTEIN: 39S ribosomal protein L12,Onychomys torridus,4.42583e-106,810.0
XP_012644899.1, 39S ribosomal protein L12,Microcebus murinus,4.81327e-106,799.0
XP_047564649.1, 39S ribosomal protein L12,Lutra lutra,4.83122e-106,799.0
XP_036692773.1, 39S ribosomal protein L12,Balaenoptera musculus,5.322210000000001e-106,799.0
XP_052612112.1, 39S ribosomal protein L12,Peromyscus californicus insignis,5.66117e-106,808.0
XP_031209541.1, 39S ribosomal protein L12,Mastomys coucha,7.09026e-106,801.0
XP_007185925.1, 39S ribosomal protein L12,Balaenoptera acutorostrata scammoni,7.55825e-106,798.0
XP_051684273.1, 39S ribosomal protein L12,Oryctolagus cuniculus,9.106370000000001e-106,797.0
XP_045345827.1, 39S ribosomal protein L12,Leopardus geoffroyi,9.51451e-106,797.0
XP_049491455.1, 39S ribosomal protein L12,Panthera uncia,1.23775e-105,797.0
XP_042525927.1, 39S ribosomal protein L12,Dipodomys spectabilis,1.33892e-105,796.0
XP_024409693.1, 39S ribosomal protein L12,Desmodus rotundus,1.56097e-105,796.0
XP_028376576.1, 39S ribosomal protein L12,Phyllostomus discolor,1.71964e-105,796.0
XP_051015162.1, 39S ribosomal protein L12,Acomys russatus,1.78367e-105,796.0
XP_025783493.1, 39S ribosomal protein L12,Puma concolor,1.87724e-105,795.0
XP_006987781.1, 39S ribosomal protein L12,Peromyscus maniculatus bairdii,2.41096e-105,805.0
XP_046949958.1, 39S ribosomal protein L12,Lynx rufus,3.13654e-105,794.0
XP_010854625.1, PREDICTED: 39S ribosomal protein L12,Bison bison bison,3.14229e-105,794.0
XP_004709158.1, 39S ribosomal protein L12,Echinops telfairi,5.60713e-105,792.0
XP_034497348.1, 39S ribosomal protein L12,Ailuropoda melanoleuca,6.56087e-105,792.0
XP_048221907.1, 39S ribosomal protein L12,Perognathus longimembris pacificus,7.21479e-105,791.0
XP_048285377.1, 39S ribosomal protein L12,Myodes glareolus,9.42824e-105,802.0
XP_041502391.1, LOW QUALITY PROTEIN: 39S ribosomal protein L12,Microtus oregoni,9.53108e-105,800.0
XP_025324096.1, 39S ribosomal protein L12,Canis lupus dingo,1.12051e-104,790.0
XP_052052687.1, 39S ribosomal protein L12,Apodemus sylvaticus,1.62531e-104,799.0
XP_045630909.1, 39S ribosomal protein L12,Ursus americanus,4.71779e-104,786.0
XP_026339677.1, 39S ribosomal protein L12,Ursus arctos,4.71779e-104,786.0
XP_021068418.1, LOW QUALITY PROTEIN: 39S ribosomal protein L12,Mus pahari,5.02121e-104,796.0
XP_021032395.2, LOW QUALITY PROTEIN: 39S ribosomal protein L12,Mus caroli,5.85248e-104,797.0
XP_013203049.1, 39S ribosomal protein L12,Microtus ochrogaster,6.499720000000001e-104,794.0
XP_041910975.1, 39S ribosomal protein L12,Arvicola amphibius,6.7405e-104,800.0
XP_032726281.1, 39S ribosomal protein L12,Lontra canadensis,2.4873499999999997e-103,784.0
XP_008071188.2, mitochondrial dicarboxylate carrier [Carlito syrichta],Carlito syrichta,2.89407e-103,804.0
XP_025855728.1, 39S ribosomal protein L12,Vulpes vulpes,1.36203e-102,777.0
XP_049996400.1, 39S ribosomal protein L12,Microtus fortis,1.43889e-102,794.0
XP_004861002.1, 39S ribosomal protein L12,Heterocephalus glaber,1.508e-102,780.0
XP_047401676.1, 39S ribosomal protein L12,Sciurus carolinensis,2.93828e-102,775.0
XP_005407319.1, PREDICTED: 39S ribosomal protein L12,Chinchilla lanigera,3.0728999999999996e-102,778.0
XP_027986223.1, 39S ribosomal protein L12,Eptesicus fuscus,3.6060900000000005e-102,774.0
XP_001488564.1, 39S ribosomal protein L12,Equus caballus,8.88754e-102,771.0
XP_044103153.1, 39S ribosomal protein L12,Neogale vison,1.2079199999999998e-101,771.0
XP_037013594.1, 39S ribosomal protein L12,Artibeus jamaicensis,1.6389599999999998e-101,770.0
XP_044941624.1, 39S ribosomal protein L12,Mustela putorius furo,3.57433e-101,767.0
XP_021493042.1, 39S ribosomal protein L12,Meriones unguiculatus,6.63746e-101,774.0
XP_028643765.1, 39S ribosomal protein L12,Grammomys surdaster,6.98573e-101,766.0
XP_043319337.1, 39S ribosomal protein L12,Cervus canadensis,9.779319999999999e-101,764.0
XP_045841821.1, 39S ribosomal protein L12,Meles meles,1.9112600000000002e-100,763.0
XP_004374145.1, 39S ribosomal protein L12,Trichechus manatus latirostris,2.8217e-100,761.0
XP_036198054.1, 39S ribosomal protein L12,Myotis myotis,2.99524e-100,761.0
XP_020922113.1, 39S ribosomal protein L12,Sus scrofa,3.3003200000000003e-100,761.0
XP_006753077.1, PREDICTED: 39S ribosomal protein L12,Myotis davidii,5.01298e-100,760.0
